"x" "y" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6" "layer.7" "reino" "ids"
"70" -143 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4303
"71" -141 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4304
"72" -139 -1 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4305
"73" -179 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4433
"74" -177 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4434
"75" -175 -3 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4435
"76" -173 -3 19996.64163 321.4987882 -3.655087024 0.796226282 0.532570617 0.127405565 17 "17" 4436
"77" -171 -3 19996.64163 321.4987882 -3.655087024 0.796226282 0.532570617 0.127405565 17 "17" 4437
"78" -169 -3 19996.64163 321.4987882 -3.655087024 0.796226282 0.532570617 0.127405565 17 "17" 4438
"79" -167 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4439
"80" -165 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4440
"81" -163 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4441
"82" -161 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4442
"83" -159 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4443
"84" -157 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4444
"85" -155 -3 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4445
"86" -153 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4446
"87" -151 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4447
"88" -149 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4448
"89" -147 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4449
"90" -145 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4450
