"x" "y" "meantemp" "rangetemp" "clorofil" "oxygen" "icecover" "ph" "phyto" "primaryprod" "salinity" "reino" "ids"
"99" -103 5 27.418 3.745 0.161 205.071 0 8.21 1.485 0.006 33.816 22 3874
"100" -103 7 27.878 3.569 0.168 204.275 0 8.214 1.518 0.007 33.515 22 3728
"101" -103 9 28.172 3.711 0.184 203.898 0 8.217 1.572 0.009 33.45 22 3586
"102" -105 -1 23.969 8.293 0.266 208.766 0 8.202 1.688 0.016 34.813 22 4322
"103" -105 -11 24.628 4.328 0.198 214.407 0 8.21 1.517 0.008 35.484 10 5053
"104" -105 -13 24.175 3.969 0.173 215.877 0 8.211 1.524 0.006 35.713 10 5201
"105" -105 -15 23.728 4.086 0.154 217.282 0 8.212 1.481 0.004 35.965 10 5350
"106" -105 -17 23.424 4.396 0.138 218.171 0 8.212 1.361 0.003 36.157 10 5495
"107" -105 -19 23.282 4.573 0.101 218.245 0 8.212 1.056 0.002 36.263 10 5641
"108" -105 -21 23.14 4.87 0.053 217.941 0 8.212 0.642 0.001 36.306 10 5784
"109" -105 -23 22.956 5.333 0.026 218.236 0 8.212 0.395 0 36.27 10 5924
"110" -105 -25 22.653 5.712 0.022 219.632 0 8.211 0.352 0 36.164 10 6064
"111" -105 -27 22.18 6.173 0.022 221.929 0 8.21 0.35 0 35.984 10 6206
"112" -105 -29 21.493 7.015 0.023 225.212 0 8.209 0.355 0 35.699 10 6349
"113" -105 -3 24.529 7.82 0.253 213.818 0 8.202 1.601 0.015 34.92 22 4470
"114" -105 -31 20.532 8.016 0.029 229.661 0 8.208 0.396 0 35.282 10 6494
"115" -105 -33 19.269 8.756 0.056 235.616 0 8.206 0.623 0 34.81 10 6645
"116" -105 -35 17.827 9.104 0.114 242.792 0 8.204 1.09 0.002 34.406 10 6803
"117" -105 -37 16.36 8.905 0.168 250.504 0 8.202 1.344 0.003 34.15 10 6969
"118" -105 -39 14.761 8.326 0.229 259.214 0 8.2 1.429 0.005 34.039 10 7138
"119" -105 -41 13.159 7.565 0.259 268.199 0 8.197 1.45 0.006 34.016 10 7313
"120" -105 -43 11.655 6.788 0.264 276.804 0 8.194 1.426 0.005 34.045 10 7489
"121" -105 -45 10.3 5.948 0.266 284.7 0 8.19 1.4 0.004 34.089 30 7665
"122" -105 -47 9.194 5.31 0.277 291.823 0 8.186 1.39 0.004 34.121 30 7841
"123" -105 -5 24.885 6.391 0.245 214.186 0 8.203 1.516 0.014 34.991 22 4616
"124" -105 -7 25.091 5.483 0.237 213.741 0 8.205 1.476 0.013 35.119 22 4761
"125" -105 -9 24.967 5.063 0.221 213.642 0 8.208 1.483 0.011 35.295 22 4906
"126" -105 1 24.896 7.46 0.23 207.559 0 8.204 1.661 0.013 34.448 22 4175
"127" -105 11 28.47 3.022 0.176 203.656 0 8.222 1.541 0.008 33.497 22 3435
"128" -105 13 28.63 2.829 0.15 203.345 0 8.228 1.404 0.007 33.585 12 3289
"129" -105 15 28.51 3.807 0.106 203.115 0 8.236 1.145 0.004 33.759 12 3146
"130" -105 17 28.134 5.414 0.088 202.692 0 8.246 0.99 0.003 33.91 12 3007
"131" -105 19 27.664 7.441 0.11 202.262 0 8.256 1.074 0.005 33.846 12 2870
"132" -105 21 27.404 9.367 0.173 203.719 0 8.268 1.371 0.011 32.522 12 2738
"133" -105 3 26.582 5.112 0.175 206.348 0 8.207 1.516 0.008 34.14 22 4025
"134" -105 5 27.391 3.824 0.159 205.096 0 8.211 1.479 0.006 33.893 22 3873
"135" -105 7 27.868 3.443 0.163 204.311 0 8.214 1.509 0.007 33.539 22 3727
"136" -105 9 28.154 3.51 0.177 203.902 0 8.218 1.559 0.008 33.434 22 3585
"137" -107 -1 24.032 7.939 0.262 208.965 0 8.204 1.655 0.016 34.847 22 4321
"138" -107 -11 24.807 4.215 0.196 213.723 0 8.209 1.517 0.008 35.486 10 5052
"139" -107 -13 24.396 3.726 0.17 214.973 0 8.21 1.524 0.006 35.727 10 5200
"140" -107 -15 23.994 3.879 0.152 216.221 0 8.211 1.484 0.004 35.981 10 5349
"141" -107 -17 23.72 4.198 0.133 216.849 0 8.211 1.339 0.003 36.203 10 5494
"142" -107 -19 23.578 4.474 0.09 216.727 0 8.211 0.968 0.002 36.334 10 5640
"143" -107 -21 23.435 4.909 0.045 216.523 0 8.211 0.572 0.001 36.384 10 5783
"144" -107 -23 23.213 5.372 0.024 217.082 0 8.211 0.379 0 36.342 10 5923
"145" -107 -25 22.868 5.627 0.022 218.653 0 8.21 0.35 0 36.227 10 6063
"146" -107 -27 22.362 6.115 0.022 221.104 0 8.209 0.349 0 36.028 10 6205
"147" -107 -29 21.631 7.08 0.023 224.569 0 8.208 0.352 0 35.728 10 6348
"148" -107 -3 24.649 7.229 0.252 213.95 0 8.204 1.58 0.015 34.946 22 4469
"149" -107 -31 20.621 8.296 0.027 229.1 0 8.207 0.385 0 35.309 10 6493
"150" -107 -33 19.343 8.858 0.056 235.363 0 8.206 0.618 0 34.85 10 6644
"151" -107 -35 17.909 9.11 0.113 242.784 0 8.204 1.077 0.002 34.456 10 6802
"152" -107 -37 16.403 8.995 0.169 250.533 0 8.202 1.342 0.003 34.182 10 6968
"153" -107 -39 14.832 8.341 0.229 259.102 0 8.2 1.432 0.005 34.058 10 7137
"154" -107 -41 13.248 7.478 0.258 268.28 0 8.197 1.45 0.006 34.029 10 7312
"155" -107 -43 11.763 6.62 0.264 276.345 0 8.194 1.423 0.005 34.053 10 7488
"156" -107 -45 10.423 5.961 0.267 284.053 0 8.19 1.397 0.004 34.104 30 7664
"157" -107 -47 9.283 5.37 0.281 291.703 0 8.185 1.397 0.004 34.141 30 7840
"158" -107 -5 25.013 5.885 0.245 214.112 0 8.204 1.505 0.014 35.018 22 4615
"159" -107 -7 25.229 5.11 0.236 213.41 0 8.206 1.47 0.013 35.141 22 4760
"160" -107 -9 25.119 4.838 0.22 213.133 0 8.207 1.481 0.011 35.303 22 4905
"161" -107 1 24.874 7.318 0.231 207.754 0 8.206 1.648 0.013 34.509 22 4174
"162" -107 11 28.359 2.997 0.168 203.639 0 8.222 1.526 0.007 33.487 22 3434
"163" -107 13 28.403 2.968 0.144 203.548 0 8.228 1.39 0.006 33.612 22 3288
"164" -107 15 28.132 4.151 0.1 203.952 0 8.235 1.119 0.003 33.814 12 3145
"165" -107 17 27.624 5.946 0.073 204.416 0 8.245 0.913 0.002 34.068 12 3006
"166" -107 19 27.109 7.885 0.08 204.667 0 8.256 0.937 0.003 34.119 12 2869
"167" -107 21 26.813 9.603 0.1 205.463 0 8.269 1.035 0.004 33.777 12 2737
"168" -107 23 26.482 11.203 0.105 206.53 0 8.279 1.071 0.005 33.642 12 2610
"169" -107 3 26.52 5.114 0.178 206.528 0 8.208 1.516 0.008 34.213 22 4024
"170" -107 5 27.36 3.772 0.159 205.121 0 8.211 1.478 0.006 33.963 22 3872
"171" -107 7 27.845 3.3 0.159 204.385 0 8.214 1.501 0.006 33.578 22 3726
"172" -107 9 28.115 3.348 0.169 203.978 0 8.218 1.547 0.007 33.418 22 3584
"173" -109 -1 24.104 7.648 0.258 209.087 0 8.206 1.625 0.015 34.879 22 4320
"174" -109 -11 25 3.817 0.193 212.989 0 8.208 1.518 0.008 35.488 10 5051
"175" -109 -13 24.61 3.507 0.168 214.09 0 8.209 1.524 0.006 35.733 10 5199
"176" -109 -15 24.251 3.775 0.149 215.174 0 8.209 1.48 0.004 35.995 10 5348
"177" -109 -17 24.008 4.059 0.127 215.569 0 8.21 1.31 0.003 36.242 10 5493
"178" -109 -19 23.871 4.406 0.082 215.323 0 8.21 0.91 0.002 36.397 10 5639
"179" -109 -21 23.717 4.877 0.039 215.204 0 8.21 0.52 0 36.453 10 5782
"180" -109 -23 23.456 5.274 0.023 215.99 0 8.21 0.371 0 36.396 10 5922
"181" -109 -25 23.07 5.573 0.021 217.755 0 8.209 0.349 0 36.262 10 6062
"182" -109 -27 22.535 6.161 0.022 220.405 0 8.209 0.351 0 36.056 10 6204
"183" -109 -29 21.773 7.245 0.022 223.978 0 8.208 0.352 0 35.753 10 6347
"184" -109 -3 24.768 7.024 0.25 213.995 0 8.205 1.562 0.015 34.967 22 4468
"185" -109 -31 20.701 8.55 0.026 228.661 0 8.207 0.379 0 35.327 10 6492
"186" -109 -33 19.432 9.017 0.055 235.22 0 8.205 0.611 0 34.89 10 6643
"187" -109 -35 17.995 9.369 0.111 242.802 0 8.204 1.062 0.002 34.494 10 6801
"188" -109 -37 16.477 9.198 0.169 250.588 0 8.202 1.339 0.003 34.208 10 6967
"189" -109 -39 14.939 8.343 0.229 259.032 0 8.199 1.436 0.005 34.076 10 7136
"190" -109 -41 13.342 7.234 0.259 268.064 0 8.197 1.449 0.006 34.041 10 7311
"191" -109 -43 11.845 6.307 0.265 275.783 0 8.193 1.421 0.005 34.062 10 7487
"192" -109 -45 10.536 5.917 0.267 283.659 0 8.189 1.397 0.004 34.117 30 7663
"193" -109 -47 9.331 5.348 0.281 291.285 0 8.185 1.395 0.004 34.163 30 7839
"194" -109 -5 25.143 5.653 0.244 213.952 0 8.205 1.498 0.014 35.04 22 4614
"195" -109 -7 25.367 4.609 0.234 212.981 0 8.206 1.468 0.013 35.152 22 4759
"196" -109 -9 25.289 4.325 0.217 212.541 0 8.207 1.481 0.011 35.32 22 4904
"197" -109 1 24.864 7.089 0.231 207.92 0 8.207 1.634 0.013 34.566 22 4173
"198" -109 11 28.216 2.888 0.162 203.758 0 8.22 1.527 0.007 33.463 22 3433
"199" -109 13 28.165 2.958 0.138 203.835 0 8.225 1.381 0.005 33.611 22 3287
"200" -109 15 27.802 4.127 0.095 204.637 0 8.232 1.096 0.003 33.832 12 3144
"201" -109 17 27.2 5.769 0.066 205.74 0 8.241 0.877 0.002 34.118 12 3005
"202" -109 19 26.481 7.334 0.061 207.29 0 8.252 0.838 0.001 34.284 12 2868
"203" -109 21 25.848 8.934 0.061 209.325 0 8.263 0.835 0.001 34.317 12 2736
"204" -109 23 25.573 11.015 0.071 209.755 0 8.274 0.897 0.002 34.244 12 2609
"205" -109 25 25.463 13.255 0.102 209.513 0 8.28 1.051 0.004 34.216 12 2488
"206" -109 3 26.477 5.039 0.181 206.693 0 8.209 1.519 0.008 34.273 22 4023
"207" -109 5 27.319 3.752 0.16 205.173 0 8.212 1.477 0.006 34.022 22 3871
"208" -109 7 27.804 3.163 0.155 204.447 0 8.214 1.492 0.006 33.632 22 3725
"209" -109 9 28.053 3.13 0.164 204.112 0 8.217 1.538 0.007 33.409 22 3583
"210" -11 -1 25.889 6.505 0.229 210.616 0 8.249 1.485 0.014 35.769 21 4355
"211" -11 -11 25.05 4.872 0.045 209.719 0 8.207 0.695 0.001 36.382 21 5081
"212" -11 -13 24.312 5.331 0.044 212.387 0 8.204 0.672 0.001 36.576 21 5230
"213" -11 -15 23.579 5.799 0.048 215.131 0 8.202 0.659 0.001 36.705 21 5380
"214" -11 -17 23.108 6.132 0.055 217.426 0 8.201 0.648 0.001 36.702 21 5527
"215" -11 -19 22.933 6.204 0.054 218.675 0 8.201 0.631 0.001 36.649 21 5673
"216" -11 -21 22.887 6.213 0.051 219.3 0 8.202 0.618 0.001 36.616 21 5817
"217" -11 -23 22.772 6.501 0.052 219.86 0 8.202 0.621 0.001 36.574 21 5959
"218" -11 -25 22.499 7.201 0.055 221.153 0 8.203 0.638 0.001 36.491 21 6100
"219" -11 -27 21.963 7.843 0.068 223.655 0 8.203 0.756 0.001 36.329 21 6243
"220" -11 -29 21.195 8.006 0.096 227.323 0 8.204 1.005 0.001 36.107 21 6386
"221" -11 -3 26.023 5.772 0.195 209.456 0 8.238 1.392 0.01 35.859 21 4501
"222" -11 -31 20.323 8.128 0.127 231.98 0 8.205 1.272 0.002 35.871 21 6532
"223" -11 -33 19.162 8.037 0.151 237.221 0 8.207 1.385 0.003 35.602 21 6684
"224" -11 -35 17.721 7.73 0.182 243.247 0 8.211 1.405 0.004 35.292 21 6843
"225" -11 -37 15.823 7.754 0.23 251.169 0 8.214 1.436 0.005 34.944 21 7009
"226" -11 -39 13.984 7.043 0.273 260.21 0 8.216 1.45 0.006 34.709 21 7180
"227" -11 -41 12.543 5.891 0.303 265.995 0 8.216 1.426 0.005 34.594 21 7356
"228" -11 -43 11.352 5.462 0.316 270.549 0 8.214 1.377 0.005 34.468 21 7532
"229" -11 -5 26.163 5.21 0.132 207.386 0 8.228 1.114 0.005 35.878 21 4643
"230" -11 -7 26.039 4.88 0.079 206.71 0 8.219 0.862 0.002 35.917 21 4787
"231" -11 -9 25.627 4.672 0.052 207.661 0 8.213 0.735 0.001 36.1 21 4932
"232" -11 1 26.715 6.543 0.189 207.638 0 8.26 1.303 0.011 35.322 23 4209
"233" -11 29 19.41 6.383 0.252 232.992 0 8.206 1.585 0.008 36.488 21 2298
"234" -11 3 27.846 5.239 0.09 203.177 0 8.27 0.946 0.003 34.766 23 4060
"235" -11 31 19.516 6.65 0.164 232.363 0 8.227 1.143 0.005 36.455 21 2177
"236" -11 33 19.968 7.316 0.072 230.159 0 8.243 0.682 0.001 36.549 18 2059
"237" -11 35 19.613 7.717 0.043 231.549 0 8.247 0.528 0 36.482 18 1943
"238" -11 37 18.711 7.771 0.057 236.208 0 8.241 0.597 0 36.231 18 1824
"239" -11 39 17.712 7.734 0.116 242.318 0 8.235 0.906 0.002 35.92 18 1712
"240" -11 41 16.882 7.66 0.139 245.832 0 8.235 0.944 0.003 35.857 18 1600
"241" -11 43 15.945 7.701 0.195 249.748 0 8.233 1.117 0.004 35.788 18 1492
"242" -11 45 15.441 7.978 0.273 252.603 0 8.228 1.478 0.006 35.738 18 1396
"243" -11 47 14.758 7.745 0.38 255.901 0 8.219 1.951 0.008 35.668 18 1310
"244" -11 49 13.913 7.355 0.472 259.992 0 8.209 2.167 0.009 35.562 18 1226
"245" -11 5 28.127 4.167 0.1 203.098 0 8.278 0.987 0.004 33.898 23 3911
"246" -11 51 13.089 7.404 0.54 264.865 0 8.2 2.334 0.01 35.373 18 1140
"247" -11 53 12.364 7.515 0.62 267.544 0 8.186 2.621 0.012 35.223 3 1050
"248" -11 55 12.048 6.41 0.522 265.805 0 8.174 2.253 0.01 35.377 18 960
"249" -11 57 11.704 5.663 0.423 266.355 0 8.168 1.93 0.007 35.402 18 870
"250" -11 59 10.999 5.199 0.411 269.86 0 8.172 1.869 0.007 35.361 18 781
"251" -11 61 10.172 4.804 0.401 273.371 0 8.179 1.787 0.006 35.295 18 703
"252" -11 63 8.85 5.044 0.499 289.22 0 8.177 2.167 0.007 35.148 18 644
"253" -11 65 6.305 6.933 0.567 320.35 0 8.172 2.56 0.008 34.786 18 585
"254" -111 -1 24.207 7.443 0.254 209.157 0 8.207 1.601 0.015 34.917 22 4319
"255" -111 -11 25.201 3.498 0.191 212.284 0 8.207 1.517 0.008 35.498 10 5050
"256" -111 -13 24.83 3.399 0.165 213.254 0 8.207 1.526 0.006 35.732 10 5198
"257" -111 -15 24.494 3.72 0.147 214.164 0 8.208 1.477 0.004 36.017 10 5347
"258" -111 -17 24.281 3.983 0.121 214.324 0 8.209 1.27 0.003 36.289 10 5492
"259" -111 -19 24.151 4.333 0.073 213.961 0 8.209 0.837 0.001 36.456 10 5638
"260" -111 -21 23.986 4.785 0.034 213.986 0 8.209 0.478 0 36.51 10 5781
"261" -111 -23 23.701 5.143 0.023 214.987 0 8.209 0.366 0 36.439 10 5921
"262" -111 -25 23.272 5.506 0.021 216.9 0 8.209 0.348 0 36.287 10 6061
